127.0.0.1 - - [17/May/2025:14:27:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747314523247_WhatsApp%20Image%202025-05-15%20at%2017.28.37_75b4e6fa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/images/air_filter.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747317422689_WhatsApp%20Image%202025-05-15%20at%2017.28.37_75b4e6fa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/Uploads/1747320996203_WhatsApp%20Image%202025-05-15%20at%2017.28.37_75b4e6fa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:09 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:15 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38361
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:18 +0530] "GET /_Spare_parts_Management_Systems/order-details?id=7 HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:18 +0530] "GET /_Spare_parts_Management_Systems/images/spare_parts_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:27 +0530] "GET /_Spare_parts_Management_Systems/item-list HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:27 +0530] "GET /_Spare_parts_Management_Systems/item-list HTTP/1.1" 200 25460
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:27 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:27 +0530] "GET /_Spare_parts_Management_Systems/images/battery.jpg HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:27 +0530] "GET /_Spare_parts_Management_Systems/images/air_filter.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:33 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:33 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:33 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:35 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=7 HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:35 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:35 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:42 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:42 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:42 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:44 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=8 HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:44 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:44 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:52 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:52 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:52 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:55 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=9 HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:55 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:55 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:57 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:57 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:57 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:59 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=13 HTTP/1.1" 200 23355
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:59 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:29:59 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:01 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:01 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:01 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:02 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=12 HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:02 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:02 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:04 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:04 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:04 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:05 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=7 HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:05 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:05 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:06 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:06 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:06 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:08 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=8 HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:08 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:08 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:10 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:10 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:10 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:12 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=9 HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:12 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:12 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:13 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:13 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:13 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:15 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=9 HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:15 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:15 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:19 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:19 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:19 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:22 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=10 HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:22 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:22 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:23 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:23 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:23 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:26 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=7 HTTP/1.1" 200 23937
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:26 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:26 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:28 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:28 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:28 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:30 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=13 HTTP/1.1" 200 23355
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:30 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:30 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:31 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:31 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:31 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:34 +0530] "GET /_Spare_parts_Management_Systems/order-update?id=15 HTTP/1.1" 200 23354
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:34 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:34 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:35 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:35 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:35 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:38 +0530] "GET /_Spare_parts_Management_Systems/item-list HTTP/1.1" 200 25460
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:38 +0530] "GET /_Spare_parts_Management_Systems/images/battery.jpg HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:38 +0530] "GET /_Spare_parts_Management_Systems/images/air_filter.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:38 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/item-list HTTP/1.1" 200 25460
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/images/air_filter.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/images/battery.jpg HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:39 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:42 +0530] "GET /_Spare_parts_Management_Systems/profile.jsp HTTP/1.1" 200 5979
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:53 +0530] "GET /_Spare_parts_Management_Systems/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:30:53 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:28 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:28 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:28 +0530] "GET /_Spare_parts_Management_Systems/dashboard HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:28 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:28 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:36 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:39 +0530] "GET /_Spare_parts_Management_Systems/GetAllServlet HTTP/1.1" 200 11790
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:43 +0530] "GET /_Spare_parts_Management_Systems/item-list HTTP/1.1" 200 25622
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:43 +0530] "GET /_Spare_parts_Management_Systems/images/battery.jpg HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:43 +0530] "GET /_Spare_parts_Management_Systems/images/air_filter.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:43 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:46 +0530] "GET /_Spare_parts_Management_Systems/dashboard HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:46 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:46 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:50 +0530] "GET /_Spare_parts_Management_Systems/supplier-list HTTP/1.1" 200 13601
0:0:0:0:0:0:0:1 - - [17/May/2025:14:31:56 +0530] "GET /_Spare_parts_Management_Systems/profile.jsp HTTP/1.1" 200 6446
0:0:0:0:0:0:0:1 - - [17/May/2025:14:32:07 +0530] "GET /_Spare_parts_Management_Systems/profile.jsp HTTP/1.1" 200 6446
0:0:0:0:0:0:0:1 - - [17/May/2025:14:33:35 +0530] "GET /_Spare_parts_Management_Systems/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:33:35 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [17/May/2025:14:33:38 +0530] "GET /_Spare_parts_Management_Systems/customerLogin.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [17/May/2025:14:40:02 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:14:40:02 +0530] "GET /_Spare_parts_Management_Systems/dashboard HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [17/May/2025:14:40:02 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:14:40:02 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:14:40:04 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [17/May/2025:14:40:07 +0530] "GET /_Spare_parts_Management_Systems/order-details?id=7 HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:48 +0530] "GET /_Spare_parts_Management_Systems/Login.jsp HTTP/1.1" 200 4525
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:49 +0530] "POST /_Spare_parts_Management_Systems/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:49 +0530] "GET /_Spare_parts_Management_Systems/dashboard HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:49 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:50 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:52 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:52 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [17/May/2025:15:02:52 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:01 +0530] "GET /_Spare_parts_Management_Systems/order-details?id=7 HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:05 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:06 +0530] "GET /_Spare_parts_Management_Systems/order-details?id=7 HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:13 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:28 +0530] "GET /_Spare_parts_Management_Systems/dashboard HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:28 +0530] "GET /_Spare_parts_Management_Systems/css/bootstrap.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [17/May/2025:15:03:28 +0530] "GET /_Spare_parts_Management_Systems/css/fontawesome.min.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [17/May/2025:15:04:06 +0530] "GET /_Spare_parts_Management_Systems/cashier HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [17/May/2025:15:04:13 +0530] "GET /_Spare_parts_Management_Systems/order-details?id=7 HTTP/1.1" 200 3683
0:0:0:0:0:0:0:1 - - [17/May/2025:15:05:54 +0530] "GET /_Spare_parts_Management_Systems/order-management HTTP/1.1" 200 8206
